"id","vendor_term_id","vend_number","vend_company2","vend_name_key","vend_address","vend_address_3","vend_our_acct_number","vend_pay_to","vend_buyer","vend_fob","vend_float_days","vend_norm_days","vend_return_policy","vend_next_ap","vend_ship_via","vend_run_id","vend_shutdown_from","vend_shutdown_thru","vend_minimum_qty","vend_minimum_amt","vend_free_ship_qty","vend_free_ship_amt","vend_type","vend_1099","vend_fin","vend_our_acct_nbr_an","vend_ytd_purchases","vend_ly_purchases","vend_balance","vend_ytd_discounts","vend_last_payment","vend_account_number","vend_sales_rep_name","vend_sales_rep_fax","vend_separate_check","vend_country_code","vend_bump_percent","vend_freight_calc_method","vend_freight_percent","vend_freight_amount","vend_rebate_code_1","vend_rebate_code_2","vend_rebate_code_3","vend_rebate_code_4","vend_rebate_code_5","vend_chg_inv_tax_1","vend_chg_inv_tax_2","vend_chg_inv_tax_3","vend_chg_inv_tax_4","created_at","updated_at","ht_etl_schema"
"1","2","3","1","TIRETRAXX","461","461","0","0",,"D","0","0","N","0","2",,"0","0","0","0.00","0","0.00",,"N",,,"0.00","0.00","0.00","0.00","0",,,"0","N","USA","0.0000","N","0.000","0.00","0","0","5131854","0","0","N","N","N","N","2021-08-24 04:16:12.498258","2021-08-24 04:16:12.498258","public"
"2","2","340","1","CAPITAL ONE BANK","249","249","0","340",,"D","0","0","N","38","2",,"0","0","0","0.00","0","0.00",,"N",,,"0.00","0.00","0.00","0.00","0",,,"0","N","USA","0.0000","N","0.000","0.00","0","0","5131854","0","0","N","N","N","N","2021-08-24 04:16:12.498258","2021-08-24 04:16:12.498258","public"
"3","3","159","1","2 CRAVE","250","250","0","159",,"D","0","0","N","6","2",,"0","0","0","0.00","0","0.00",,"N",,,"0.00","0.00","0.00","0.00","0",,,"0","N","USA","0.0000","N","0.000","0.00","0","0","5131854","0","0","N","N","N","N","2021-08-24 04:16:12.498258","2021-08-24 04:16:12.498258","public"
"4","2","267","1","365 ENTERPRISES","251","251","0","267",,"D","0","0","N","167","2",,"0","0","0","0.00","0","0.00",,"N",,,"0.00","0.00","0.00","0.00","0",,,"0","N","USA","0.0000","N","0.000","0.00","0","0","5131854","0","0","N","N","N","N","2021-08-24 04:16:12.498258","2021-08-24 04:16:12.498258","public"
"5","2","32","1","365 PROPERTIES LLC","252","252","0","32",,"D","0","0","N","176","2",,"0","0","0","0.00","0","0.00",,"Y","26-2166023",,"0.00","0.00","0.00","0.00","0",,,"0","N","USA","0.0000","N","0.000","0.00","0","0","5131854","0","0","N","N","N","N","2021-08-24 04:16:12.498258","2021-08-24 04:16:12.498258","public"
"6","2","232","1","4IMPRINT, INC.","253","253","0","232",,"D","0","0","N","0","2",,"0","0","0","0.00","0","0.00",,"N",,,"0.00","0.00","0.00","0.00","0",,,"0","N","USA","0.0000","N","0.000","0.00","0","0","5131854","0","0","N","N","N","N","2021-08-24 04:16:12.498258","2021-08-24 04:16:12.498258","public"
"7","2","11","1","TV PROFILE, LLC","254","254","0","11",,"D","0","0","N","19","2",,"0","0","0","0.00","0","0.00",,"N",,,"0.00","0.00","0.00","0.00","0",,,"0","N","USA","0.0000","N","0.000","0.00","0","0","5131854","0","0","N","N","N","N","2021-08-24 04:16:12.498258","2021-08-24 04:16:12.498258","public"
"8","2","216","1","ACADIANA WASTE SERVICES","255","255","0","216",,"D","0","0","N","0","2",,"0","0","0","0.00","0","0.00",,"N",,,"0.00","0.00","0.00","0.00","0",,,"0","N","USA","0.0000","N","0.000","0.00","0","0","5131854","0","0","N","N","N","N","2021-08-24 04:16:12.498258","2021-08-24 04:16:12.498258","public"
"9","2","164","1","ADVANCED VENTURES, LLC","256","256","0","164",,"D","0","0","N","595","2",,"0","0","0","0.00","0","0.00",,"N",,,"0.00","0.00","0.00","0.00","0",,,"0","N","USA","0.0000","N","0.000","0.00","0","0","5131854","0","0","N","N","N","N","2021-08-24 04:16:12.498258","2021-08-24 04:16:12.498258","public"
"10","2","196","1","ADVANCED A/C & REFRIGERATION","257","257","0","196",,"D","0","0","N","0","2",,"0","0","0","0.00","0","0.00",,"N",,,"0.00","0.00","0.00","0.00","0",,,"0","N","USA","0.0000","N","0.000","0.00","0","0","5131854","0","0","N","N","N","N","2021-08-24 04:16:12.498258","2021-08-24 04:16:12.498258","public"
